City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Amahai,ID,84.96,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
9,Rikitea,PF,78.03,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Kudahuvadhoo,MV,80.31,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
16,Kapaa,US,77.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Ahuimanu,US,77.94,clear sky,21.4447,-157.8378,Paradise Bay Resort
24,Hilo,US,75.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
28,Kahului,US,79.86,clear sky,20.8947,-156.47,Maui Seaside Hotel
29,Vaini,TO,82.78,overcast clouds,-21.2,-175.2,Keleti Beach Resort
43,Poum,NC,83.07,broken clouds,-20.2333,164.0167,Gîte kajeon
54,Carnarvon,AU,83.53,clear sky,-24.8667,113.6333,Hospitality Carnarvon
56,Kavieng,PG,83.32,light rain,-2.5744,150.7967,Nusa Island Retreat
58,Arraial Do Cabo,BR,75.94,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Atuona,PF,77.67,clear sky,-9.8,-139.0333,Villa Enata
74,Caravelas,BR,76.24,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
101,Bonthe,SL,77.31,clear sky,7.5264,-12.505,Bonthe Holiday Village
106,Hobyo,SO,78.06,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
107,Namatanai,PG,84.74,light rain,-3.6667,152.4333,Seagulls Inn Namatani
110,Rong Kwang,TH,82.83,broken clouds,18.339,100.3174,Rong Kwang Hotel
112,Souillac,MU,80.37,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
119,Yanam,IN,77.4,light rain,16.7333,82.2167,The Regency Hotel
121,Boyolangu,ID,84.92,overcast clouds,-8.1181,111.8935,Yos ega cv
123,Hithadhoo,MV,80.67,broken clouds,-0.6,73.0833,Scoop Guest House
127,Hervey Bay,AU,89.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
128,Bathsheba,BB,76.05,few clouds,13.2167,-59.5167,Atlantis Hotel
131,Bengkulu,ID,81.46,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
132,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
134,Meulaboh,ID,81.45,broken clouds,4.1363,96.1285,Kost Pria
136,Georgetown,MY,87.73,haze,5.4112,100.3354,Cititel Penang
140,Kiunga,PG,81.46,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
152,Grand-Lahou,CI,79.02,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
154,Saravena,CO,77.94,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
