City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,66.47,24,75,7.23,broken clouds
1,Jamestown,US,42.097,-79.2353,13.32,85,100,10.36,overcast clouds
2,Albany,US,42.6001,-73.9662,20.91,70,100,3.0,overcast clouds
3,Bluff,NZ,-46.6,168.3333,66.79,63,91,8.05,overcast clouds
4,Bethel,US,41.3712,-73.414,30.29,86,100,1.99,overcast clouds
5,Hermanus,ZA,-34.4187,19.2345,59.81,81,35,11.9,scattered clouds
6,Imbituba,BR,-28.24,-48.6703,70.83,79,95,5.48,overcast clouds
7,Salalah,OM,17.0151,54.0924,69.89,49,0,5.75,clear sky
8,Port Alfred,ZA,-33.5906,26.891,66.45,81,91,5.61,light rain
9,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,67,0,9.22,clear sky
10,Ushuaia,AR,-54.8,-68.3,51.46,82,40,5.75,scattered clouds
11,Ribeira Grande,PT,38.5167,-28.7,58.33,61,44,6.96,scattered clouds
12,Hilo,US,19.7297,-155.09,76.73,73,100,10.36,overcast clouds
13,Hobart,AU,-42.8794,147.3294,72.27,70,75,3.0,broken clouds
14,Faanui,PF,-16.4833,-151.75,80.91,74,14,14.74,moderate rain
15,Ulaangom,MN,49.9811,92.0667,-17.09,97,94,1.36,overcast clouds
16,Cidreira,BR,-30.1811,-50.2056,69.39,75,20,12.15,few clouds
17,Porto Novo,BJ,6.4965,2.6036,78.62,84,4,1.28,clear sky
18,Vilyuysk,RU,63.7553,121.6247,-6.75,96,99,7.81,overcast clouds
19,Kintampo,GH,8.0563,-1.7306,74.64,20,24,1.79,few clouds
20,Lasa,IT,46.6166,10.7002,34.68,70,54,7.72,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,59.11,44,0,6.91,clear sky
22,Mahebourg,MU,-20.4081,57.7,84.25,94,40,1.14,scattered clouds
23,Khatanga,RU,71.9667,102.5,-6.86,96,100,6.67,overcast clouds
24,Kurumkan,RU,54.3,110.3,-6.47,94,26,1.32,scattered clouds
25,Qaanaaq,GL,77.484,-69.3632,-13.32,62,74,7.87,broken clouds
26,Ilulissat,GL,69.2167,-51.1,23.02,50,100,17.27,overcast clouds
27,Busselton,AU,-33.65,115.3333,95.04,42,96,6.22,overcast clouds
28,San Isidro,PE,-12.1167,-77.05,72.01,77,0,1.01,clear sky
