City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,-6.59,90,84,5.99,broken clouds
1,Taoudenni,ML,22.6783,-3.9836,69.08,11,100,12.24,overcast clouds
2,Amahai,ID,-3.3333,128.9167,84.96,67,100,5.48,overcast clouds
3,Luderitz,NA,-26.6481,15.1594,67.14,73,0,22.46,clear sky
4,Kuloy,RU,61.0305,42.4925,14.09,95,100,7.14,light snow
5,Lavrentiya,RU,65.5833,-171.0,-8.93,95,26,3.44,scattered clouds
6,Dawlatabad,AF,36.4141,64.9053,42.26,87,100,6.76,overcast clouds
7,Cape Town,ZA,-33.9258,18.4232,65.26,71,4,4.0,clear sky
8,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,63,1.01,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,78.03,71,90,13.89,overcast clouds
10,Lebu,CL,-37.6167,-73.65,58.1,92,3,4.03,clear sky
11,Kudahuvadhoo,MV,2.6708,72.8944,80.31,64,40,10.29,scattered clouds
12,Avera,US,33.194,-82.5271,40.87,59,31,19.53,scattered clouds
13,Leningradskiy,RU,69.3833,178.4167,-11.33,93,38,3.04,scattered clouds
14,Mataura,NZ,-46.1927,168.8643,67.48,22,88,8.19,overcast clouds
15,Port Elizabeth,ZA,-33.918,25.5701,66.09,94,0,5.75,clear sky
16,Kapaa,US,22.0752,-159.319,77.11,59,34,1.01,scattered clouds
17,Rocha,UY,-34.4833,-54.3333,58.82,79,0,3.29,clear sky
18,Ushuaia,AR,-54.8,-68.3,51.46,82,75,6.91,broken clouds
19,Saldanha,ZA,-33.0117,17.9442,57.25,82,0,12.77,clear sky
20,Bredasdorp,ZA,-34.5322,20.0403,60.28,74,69,6.31,broken clouds
21,Nanortalik,GL,60.1432,-45.2371,27.36,77,100,13.02,light snow
22,Ahuimanu,US,21.4447,-157.8378,77.94,73,3,1.99,clear sky
23,Okhotsk,RU,59.3833,143.3,14.02,77,100,16.82,overcast clouds
24,Hilo,US,19.7297,-155.09,75.25,85,4,4.0,clear sky
25,Ponta Do Sol,PT,32.6667,-17.1,61.72,57,66,4.43,broken clouds
26,Hami,CN,42.8,93.45,22.75,48,1,4.68,clear sky
27,Camana,PE,-16.6228,-72.7111,69.91,81,34,4.81,scattered clouds
28,Kahului,US,20.8947,-156.47,79.86,71,9,7.47,clear sky
29,Vaini,TO,-21.2,-175.2,82.78,78,100,17.07,overcast clouds
30,Bluff,NZ,-46.6,168.3333,67.8,60,92,8.95,overcast clouds
31,Sorland,NO,67.667,12.6934,33.55,67,100,28.07,light snow
32,Port-Cartier,CA,50.0334,-66.8654,-16.8,96,18,7.43,few clouds
33,Provideniya,RU,64.3833,-173.3,-0.27,97,16,3.18,few clouds
34,Vanavara,RU,60.34,102.2797,-7.87,98,100,3.49,overcast clouds
35,Napier,NZ,-39.4833,176.9167,72.25,58,54,8.01,broken clouds
36,Cururupu,BR,-1.8283,-44.8683,73.0,95,100,4.5,overcast clouds
37,Comodoro Rivadavia,AR,-45.8667,-67.5,63.84,84,47,7.18,scattered clouds
38,Ribeira Grande,PT,38.5167,-28.7,58.41,60,57,5.82,broken clouds
39,Kaeo,NZ,-35.1,173.7833,72.32,67,99,13.42,overcast clouds
40,Vilhena,BR,-12.7406,-60.1458,68.49,98,94,2.39,heavy intensity rain
41,Mococa,BR,-21.4678,-47.0047,69.66,96,100,1.9,light rain
42,Pevek,RU,69.7008,170.3133,-10.75,98,100,1.77,overcast clouds
43,Poum,NC,-20.2333,164.0167,83.07,73,80,9.75,broken clouds
44,Havoysund,NO,70.9963,24.6622,18.48,78,87,8.5,overcast clouds
45,Sotnikovskoye,RU,45.0039,43.7772,27.23,87,45,5.17,light snow
46,Venustiano Carranza,MX,19.43,-99.0992,63.0,64,40,11.01,scattered clouds
47,Geraldton,AU,-28.7667,114.6,102.61,24,0,12.66,clear sky
